Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
smart-tv-4k-aparelho-boxmxqpro,Smart TV 4K Aparelho BOXMXQPRO,"",‎‎‎‎‎‎‎‎ㅤ,Electronics > Video > Video Players & Recorders > Streaming & Home Media Players,"","",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,74.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/Capturadetela2026-04-08210423.png?v=1775693092,1,"",false,,,,kg,,,active
smart-tv-4k-aparelho-boxmxqpro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/Capturadetela2026-04-08210434.png?v=1775693092,2,"",,,,,,,,
ssd-kingston-nv3-1-tb-m-2-2280-pcie-4-0-x4-nvme-leitura-6000-mb-s,"SSD Kingston NV3, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 6000 MB/s","<h2 data-start=""169"" data-end=""218"">💾 SSD Kingston NV3 1TB NVMe PCIe 4.0 M.2 2280</h2>
<p data-start=""220"" data-end=""539"">O <strong data-start=""222"" data-end=""246"">SSD Kingston NV3 1TB</strong> oferece <strong data-start=""255"" data-end=""296"">altíssimo desempenho e confiabilidade</strong>, sendo a escolha ideal para quem busca <strong data-start=""336"" data-end=""401"">mais velocidade, respostas instantâneas e maior produtividade</strong>. Com interface <strong data-start=""417"" data-end=""437"">PCIe 4.0 x4 NVMe</strong>, ele proporciona carregamentos ultrarrápidos para sistemas operacionais, jogos e aplicativos pesados.</p>
<p data-start=""541"" data-end=""759"">Projetado para notebooks e desktops compatíveis com <strong data-start=""593"" data-end=""605"">M.2 2280</strong>, o NV3 garante <strong data-start=""621"" data-end=""650"">leituras de até 6000 MB/s</strong>, reduzindo drasticamente o tempo de inicialização do sistema e melhorando a performance geral do computador.</p>
<hr data-start=""761"" data-end=""764"">
<h3 data-start=""766"" data-end=""794"">🚀 Principais Benefícios</h3>
<ul data-start=""795"" data-end=""1060"">
<li data-start=""795"" data-end=""843"">
<p data-start=""797"" data-end=""843""><strong data-start=""797"" data-end=""819"">Velocidade extrema</strong> com tecnologia PCIe 4.0</p>
</li>
<li data-start=""844"" data-end=""882"">
<p data-start=""846"" data-end=""882"">Inicialização do sistema em segundos</p>
</li>
<li data-start=""883"" data-end=""949"">
<p data-start=""885"" data-end=""949"">Ideal para <strong data-start=""896"" data-end=""949"">jogos, edição de vídeo, design e uso profissional</strong></p>
</li>
<li data-start=""950"" data-end=""1003"">
<p data-start=""952"" data-end=""1003"">Baixo consumo de energia e maior eficiência térmica</p>
</li>
<li data-start=""1004"" data-end=""1060"">
<p data-start=""1006"" data-end=""1060"">Qualidade e confiabilidade reconhecida da <strong data-start=""1048"" data-end=""1060"">Kingston</strong></p>
</li>
</ul>
<hr data-start=""1062"" data-end=""1065"">
<h3 data-start=""1067"" data-end=""1097"">⚙️ Especificações Técnicas</h3>
<ul data-start=""1098"" data-end=""1450"">
<li data-start=""1098"" data-end=""1121"">
<p data-start=""1100"" data-end=""1121""><strong data-start=""1100"" data-end=""1110"">Marca:</strong> Kingston</p>
</li>
<li data-start=""1122"" data-end=""1141"">
<p data-start=""1124"" data-end=""1141""><strong data-start=""1124"" data-end=""1135"">Modelo:</strong> NV3</p>
</li>
<li data-start=""1142"" data-end=""1166"">
<p data-start=""1144"" data-end=""1166""><strong data-start=""1144"" data-end=""1159"">Capacidade:</strong> 1 TB</p>
</li>
<li data-start=""1167"" data-end=""1192"">
<p data-start=""1169"" data-end=""1192""><strong data-start=""1169"" data-end=""1181"">Formato:</strong> M.2 2280</p>
</li>
<li data-start=""1193"" data-end=""1228"">
<p data-start=""1195"" data-end=""1228""><strong data-start=""1195"" data-end=""1209"">Interface:</strong> PCIe 4.0 x4 NVMe</p>
</li>
<li data-start=""1229"" data-end=""1273"">
<p data-start=""1231"" data-end=""1273""><strong data-start=""1231"" data-end=""1257"">Velocidade de Leitura:</strong> Até 6000 MB/s</p>
</li>
<li data-start=""1274"" data-end=""1344"">
<p data-start=""1276"" data-end=""1344""><strong data-start=""1276"" data-end=""1303"">Velocidade de Gravação:</strong> (conforme especificação do fabricante)</p>
</li>
<li data-start=""1345"" data-end=""1408"">
<p data-start=""1347"" data-end=""1408""><strong data-start=""1347"" data-end=""1367"">Compatibilidade:</strong> Desktops e notebooks com slot M.2 NVMe</p>
</li>
<li data-start=""1409"" data-end=""1450"">
<p data-start=""1411"" data-end=""1450""><strong data-start=""1411"" data-end=""1423"">Consumo:</strong> Baixo consumo energético</p>
</li>
</ul>
<hr data-start=""1452"" data-end=""1455"">
<h3 data-start=""1457"" data-end=""1480"">🖥️ Compatibilidade</h3>
<p data-start=""1481"" data-end=""1618"">✔ Compatível com placas-mãe que suportam <strong data-start=""1522"" data-end=""1543"">M.2 NVMe PCIe 4.0</strong><br data-start=""1543"" data-end=""1546"">✔ Retrocompatível com PCIe 3.0 (funciona, porém com velocidade reduzida)</p>
<hr data-start=""1620"" data-end=""1623"">
<h3 data-start=""1625"" data-end=""1653"">📦 Conteúdo da Embalagem</h3>
<ul data-start=""1654"" data-end=""1695"">
<li data-start=""1654"" data-end=""1695"">
<p data-start=""1656"" data-end=""1695"">1x SSD Kingston NV3 1TB NVMe M.2 2280</p>
</li>
</ul>
<hr data-start=""1697"" data-end=""1700"">
<h3 data-start=""1702"" data-end=""1728"">🔒 Qualidade Garantida</h3>
<p data-start=""1729"" data-end=""1819"">Produto <strong data-start=""1737"" data-end=""1765"">novo, original e lacrado</strong>, com a confiabilidade e padrão de qualidade Kingston.</p>",Black Core,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,449.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/kinstons.webp?v=1775650298,1,"",false,,,,kg,,,active
ssd-kingston-nv3-1-tb-m-2-2280-pcie-4-0-x4-nvme-leitura-6000-mb-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/kinbstt.webp?v=1775650298,2,"",,,,,,,,
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,Echo Dot Amazon 2 unidades⭐⭐⭐⭐⭐,"<p data-start=""0"" data-end=""111"">🟢 O que acompanha<br data-start=""18"" data-end=""21"">✔️ 1x Dispositivo Amazon Alexa<br data-start=""51"" data-end=""54"">✔️ 1x Cabo de alimentação<br data-start=""79"" data-end=""82"">✔️ 1x Guia de início rápido</p>
<p data-start=""113"" data-end=""275"">🟢 Design e Conforto<br data-start=""133"" data-end=""136"">✔️ Design compacto e moderno, perfeito para qualquer ambiente.<br data-start=""198"" data-end=""201"">✔️ Acabamento elegante e opções de cores que combinam com sua decoração.</p>
<p data-start=""277"" data-end=""445"">🟢 Tecnologia e Performance<br data-start=""304"" data-end=""307"">✔️ Áudio de alta qualidade, com som nítido e graves equilibrados.<br data-start=""372"" data-end=""375"">✔️ Microfones de longo alcance que captam sua voz mesmo à distância.</p>
<p data-start=""447"" data-end=""640"">🟢 Conectividade e Compatibilidade<br data-start=""481"" data-end=""484"">✔️ Conexão Wi-Fi para acesso rápido à internet e serviços de streaming.<br data-start=""555"" data-end=""558"">✔️ Compatível com diversos dispositivos inteligentes para automação residencial.</p>
<p data-start=""642"" data-end=""819"">🟢 Funcionalidades Adicionais<br data-start=""671"" data-end=""674"">✔️ Assistente de voz inteligente para ajudar em tarefas do dia a dia.<br data-start=""743"" data-end=""746"">✔️ Controle por comandos de voz para músicas, notícias, alarmes e mais.</p>
<p data-start=""821"" data-end=""960"" data-is-only-node="""" data-is-last-node="""">🟢 Personalização<br data-start=""838"" data-end=""841"">✔️ Configuração fácil pelo aplicativo Alexa.<br data-start=""885"" data-end=""888"">✔️ Criação de rotinas personalizadas para facilitar sua rotina diária.</p>",Black Core,Electronics > Audio > Audio Components > Speakers,"","",false,Cor,preto-20,,,,,,,,,0.0,,0,deny,manual,229.98,279.99,true,false,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/alexa_echo_dot_5th_geracao_alto_falante_1_73_bivolt_587_1_e93079579f079817a7e551a076188284-1-9fc6a24e4e7dd4b1d517202039429218-1024-1024.webp?v=1775650297,1,"",false,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/71xoR4A6q-L._AC_SX679.jpg?v=1775650296,kg,,,draft
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,,,,,,,,,azul-3,,,,,,,,,0.0,,0,deny,manual,229.98,279.99,true,false,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/714v2PkGqJL.jpg?v=1775650297,2,"",,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/61j3SEUjMJL._AC_SX679.jpg?v=1775650296,kg,,,
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,,,,,,,,,branco-5,,,,,,,,,0.0,,0,deny,manual,229.98,279.99,true,false,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/71Vue6nYvzL.jpg?v=1775650296,3,"",,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/71YVBa7zc5L._AC_SX679.jpg?v=1775650296,kg,,,
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/71eP4gTsjVL.jpg?v=1775650296,4,"",,,,,,,,
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/61j3SEUjMJL._AC_SX679.jpg?v=1775650296,5,"",,,,,,,,
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/71YVBa7zc5L._AC_SX679.jpg?v=1775650296,6,"",,,,,,,,
echo-dot-amazon-2-unidades⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/71xoR4A6q-L._AC_SX679.jpg?v=1775650296,7,"",,,,,,,,
